id,title,credits,download_icon0,download_icon0_mirror,download_url,download_url_mirror,download_readme,download_readme_mirror,download_src,download_src_mirror,time_added,config_type,options,type,depends,visible
HOTA00001,HOTA,usineur,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/HOTA00001_icon0.png,None,https://github.com/usineur/hota/releases/download/vita-1.0/HOTA.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/HOTA00001.vpk,https://raw.githubusercontent.com/usineur/hota/master/README.md,None,https://github.com/usineur/hota.git,None,1588341716,None,None,VPK,None,True
CHICKENS2,Chicken Launcher,crait,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/CHICKENS2_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/CHICKENS2.vpk,None,None,None,None,None,1588341715,None,None,VPK,None,True
TQUE00001,TextQuest,joshaxey,https://raw.githubusercontent.com/joshaxey/textquest/master/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/TQUE00001_icon0.png,https://github.com/joshaxey/textquest/releases/download/1.0/TextQuest.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/TQUE00001.vpk,https://raw.githubusercontent.com/joshaxey/textquest/master/README.md,None,https://github.com/joshaxey/textquest.git,None,1588341714,None,None,VPK,None,True
MINESWEEP,Minesweeper,LeeStorm,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/MINESWEEP_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/MINESWEEP.vpk,None,None,None,None,None,1588341713,None,None,VPK,None,True
SPIDERCAR,SpiderVita,LeeStorm,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/SPIDERCAR_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SPIDERCAR.vpk,None,None,None,None,None,1588341712,None,None,VPK,None,True
SHC100001,Super Hero Chronicles,thesuicidalrobot,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/SHC100001_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SHC100001.vpk,None,None,None,None,None,1588341711,None,None,VPK,None,True
FLPP00001,flppy bird,gambikules,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/FLPP00001_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/FLPP00001.vpk,None,None,None,None,None,1588341710,None,None,VPK,None,True
KUNI00002,sudokucpp,Kuni59,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/KUNI00002_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/KUNI00002.vpk,None,None,None,http://www.mediafire.com/file/wu7ptl6t57wo5tl/SudokuCPP.rar,None,1588341709,None,None,VPK,None,True
FRAN00003,GenesisPlusGXVITA,frangarcj,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/FRAN00003_icon0.png,None,https://github.com/frangarcj/Genesis-Plus-GX/releases/download/1.7.5-RC-Henkaku/GenesisPlusGXVITA.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/FRAN00003.vpk,https://raw.githubusercontent.com/frangarcj/Genesis-Plus-GX/master/README.md,None,https://github.com/frangarcj/Genesis-Plus-GX.git,None,1588341707,None,None,VPK,None,True
BREW00001,ReversMe,TheFloW,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/BREW00001_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/BREW00001.vpk,None,None,None,https://drive.google.com/file/d/0B8d0Wy4mDFrGM0k0YW9Xd01qS2M/view,None,1588341706,None,None,VPK,None,True
DSEMU0000,DeSmuME,MasterFeizz,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/DSEMU0000_icon0.png,None,https://github.com/masterfeizz/DeSmuME-Vita/releases/download/v0.2/desmume.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/DSEMU0000.vpk,https://raw.githubusercontent.com/masterfeizz/DeSmuME-Vita/master/README.md,None,https://github.com/masterfeizz/DeSmuME-Vita.git,None,1588341705,None,None,VPK,None,True
FRAN00004,NeopopVITA,frangarcj,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/FRAN00004_icon0.png,None,https://github.com/frangarcj/NeopopVITA/releases/download/0.71.15-Henkaku/NeopopVITA.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/FRAN00004.vpk,https://raw.githubusercontent.com/frangarcj/NeopopVITA/master/README.md,None,https://github.com/frangarcj/NeopopVITA.git,None,1588341704,None,None,VPK,None,True
